Audit_ID,Audit_Name,Audit_Type,Scope,Framework,Scheduled_Date,Auditor,Status,Findings_Count,High_Findings,Medium_Findings,Low_Findings,Report_Location,Next_Audit_Date,Notes
AUD-001,Annual Access Control Review,Internal,Active Directory accounts GPO configurations sudo rules,NIST AC-2; ISO A.5.15; SOC CC6,2026-01-15,Binette,Completed,4,1,2,1,grc/audits/reports/AUD-001-access-control.md,2027-01-15,High finding: 3 stale accounts not disabled; remediated
AUD-002,Vulnerability Assessment - Network Perimeter,Technical,Network infrastructure - all lab hosts and services,NIST RA-5; ISO A.8.8; SOC CC7.1,2026-01-20,Binette,Completed,7,2,3,2,grc/audits/reports/AUD-002-vuln-assessment.md,2026-07-20,Critical CVEs identified; remediation plan created
AUD-003,Web Application Security Assessment,Technical,OmniPortal web application - all endpoints and functions,NIST SA-11; ISO A.8.29; SOC CC7,2026-02-01,Binette,Completed,9,3,4,2,OmniPortal_Assessment.md,2026-08-01,SQLi and XSS findings; all remediated
AUD-004,Configuration Baseline Review,Internal,Docker containers Linux servers Windows Server,NIST CM-6; ISO A.8.9; SOC CC5,2026-02-15,Binette,Completed,3,0,2,1,grc/audits/reports/AUD-004-config-baseline.md,2026-08-15,Minor deviations corrected; docker-compose.yml updated
AUD-005,Incident Response Plan Test (Tabletop),Process,IR plan and escalation procedures - simulated ransomware scenario,NIST IR-8; ISO A.5.24; SOC CC7.4,2026-03-01,Binette,Completed,2,0,1,1,grc/audits/reports/AUD-005-tabletop.md,2026-09-01,Escalation path documented; communication plan improved
AUD-006,Firewall Rule Review,Technical,UFW rules on all Linux hosts; network ACLs,NIST SC-7; ISO A.8.20; SOC CC6.6,2026-03-15,Binette,Completed,3,1,1,1,grc/audits/reports/AUD-006-firewall-review.md,2026-09-15,Overly permissive outbound rules found; corrected
AUD-007,Log Management and Monitoring Audit,Technical,System logs Suricata logs Python audit trails,NIST AU-2; ISO A.8.15; SOC CC7.2,2026-04-01,Binette,Completed,4,1,2,1,grc/audits/reports/AUD-007-log-audit.md,2026-10-01,Log integrity gap identified; remote syslog planned
AUD-008,Purple Team Exercise - Operation Fortress,Technical,Full attack simulation across all lab systems,NIST CA-2; ISO A.5.26; SOC CC7,2026-04-15,Binette,Completed,12,4,5,3,Operation_Fortress_Report.md,2026-10-15,Comprehensive test; multiple critical findings addressed
AUD-009,Digital Forensics Readiness Assessment,Process,Forensic capabilities tools and procedures,NIST IR-4; ISO A.5.28; SOC CC7.3,2026-05-01,Binette,Completed,2,0,1,1,grc/audits/reports/AUD-009-forensics-readiness.md,2026-11-01,Chain-of-custody procedures updated; forensic toolkit documented
AUD-010,Annual Security Architecture Review,Internal,Full system architecture security controls and framework alignment,All Frameworks,2026-06-01,Binette,In Progress,,,,,grc/audits/reports/AUD-010-arch-review.md,2027-06-01,Ongoing - completing as part of portfolio GRC buildout
AUD-011,SOC 2 Readiness Assessment,Compliance,All in-scope systems against SOC 2 Trust Services Criteria,SOC 2,2026-07-01,Binette,Planned,,,,,grc/frameworks/soc2/readiness-report.md,2027-07-01,Scheduled post-gap remediation
AUD-012,ISO 27001 Gap Assessment,Compliance,Full scope against ISO 27001:2022 Annex A,ISO 27001,2026-08-01,Binette,Planned,,,,,grc/frameworks/iso-27001/soa.md,2027-08-01,Prerequisite for potential certification pursuit
AUD-013,Penetration Test - Annual,Technical,All systems in scope - red team engagement,NIST CA-2; ISO A.8.34,2026-09-01,Binette,Planned,,,,,grc/audits/reports/AUD-013-pentest.md,2027-09-01,Annual external pentest
AUD-014,Vendor Risk Assessment,Compliance,Third-party tools and services used in environment,NIST SA-9; ISO A.5.19; SOC CC9,2026-10-01,Binette,Planned,,,,,grc/audits/reports/AUD-014-vendor-risk.md,2027-10-01,First formal vendor risk assessment
