TSC_Category,Criteria_ID,Criteria_Name,Description,Implementation_Status,Evidence_Artifact,Evidence_Source,Notes
Common Criteria,CC1.1,COSO Principle 1 - Demonstrates Commitment to Integrity,The entity demonstrates a commitment to integrity and ethical values,Implemented,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,SAD establishes security principles and ethical use policies
Common Criteria,CC1.2,COSO Principle 2 - Exercises Oversight Responsibility,The board of directors demonstrates independence from management,Partial,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,Lab context; governance structure documented in SAD
Common Criteria,CC1.3,COSO Principle 3 - Establishes Structure,Management establishes structures reporting lines and authorities,Partial,onboard_engineers.ps1,week-05_identity-access-active-directory,AD roles establish reporting structure; org chart not formal
Common Criteria,CC2.1,COSO Principle 13 - Uses Relevant Information,The entity obtains or generates and uses relevant quality information,Implemented,system_auditor.py; security_alert.json,week-03_python-for-security,Automated system auditing generates relevant security information
Common Criteria,CC2.2,COSO Principle 14 - Communicates Internally,The entity internally communicates information,Implemented,escalation_path.txt,week-12_final-reckoning,Escalation path documents internal communication procedures
Common Criteria,CC2.3,COSO Principle 15 - Communicates Externally,The entity communicates with external parties,Partial,Incident_Response_Report.md,week-12_final-reckoning,IR report covers external notification; no formal external comms policy
Common Criteria,CC3.1,COSO Principle 6 - Specifies Suitable Objectives,The entity specifies objectives to enable risk identification,Implemented,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,SAD defines security objectives and risk tolerance
Common Criteria,CC3.2,COSO Principle 7 - Identifies and Analyzes Risk,The entity identifies risks to the achievement of its objectives,Implemented,ThreatProfile_CloudNano.md; remediation_plan.md,week-07_recon-vulnerability-analysis,OSINT threat profile and remediation plan demonstrate risk identification
Common Criteria,CC3.3,COSO Principle 8 - Assesses Fraud Risk,The entity considers the potential for fraud in assessing risks,Partial,brute_detector.py,week-03_python-for-security,Brute-force detection addresses credential fraud; broader fraud risk not assessed
Common Criteria,CC3.4,COSO Principle 9 - Identifies Changes,The entity identifies and assesses changes that could impact the system,Partial,nmap_scan_results.txt,week-07_recon-vulnerability-analysis,Scanning identifies changes; no formal change management process
Common Criteria,CC4.1,COSO Principle 16 - Selects and Develops Control Activities,The entity selects and develops control activities that mitigate risks,Implemented,custom_ids.rules; firewall_config.sh,week-11_active-defense,IDS rules and firewall policies are selected risk-mitigating controls
Common Criteria,CC4.2,COSO Principle 11 - Deploys General IT Controls,The entity deploys general controls over technology,Implemented,gpo_audit.txt; harden.sh,week-05_identity-access-active-directory; week-01_linux-fundamentals,GPO and hardening scripts are general IT controls
Common Criteria,CC5.1,COSO Principle 10 - Selects and Develops Controls,The entity selects and develops control activities over technology,Implemented,docker-compose.yml; firewall_config.sh,week-04_docker-containers; week-11_active-defense,Container segmentation and firewall are technology controls
Common Criteria,CC5.2,COSO Principle 12 - Deploys Through Policies and Procedures,The entity deploys control activities through policies and procedures,Implemented,gpo_audit.txt; harden.sh,week-05_identity-access-active-directory; week-01_linux-fundamentals,Controls deployed via GPO and hardening scripts
Common Criteria,CC6.1,Logical Access - Registered and Authorized Users,The entity implements logical access controls,Implemented,onboard_engineers.ps1; gpo_audit.txt,week-05_identity-access-active-directory,AD with GPO provides complete logical access control
Common Criteria,CC6.2,Logical Access - Prior to Issuing System Credentials,The entity issues credentials only to authenticated registered users,Implemented,onboard_engineers.ps1,week-05_identity-access-active-directory,PowerShell provisioning script enforces credentialing process
Common Criteria,CC6.3,Logical Access - Role-Based Access Control,The entity limits access based on roles and responsibilities,Implemented,gpo_audit.txt,week-05_identity-access-active-directory,GPO implements RBAC with LSDOU inheritance
Common Criteria,CC6.6,Logical Access - Logical Access from External Sources,The entity implements controls to manage access from external sources,Implemented,firewall_config.sh,week-11_active-defense,UFW firewall restricts external access
Common Criteria,CC6.7,Logical Access - Transmission and Movement of Data,The entity restricts the transmission and movement of information,Partial,docker-compose.yml,week-04_docker-containers,Network segmentation restricts data movement; DLP not implemented
Common Criteria,CC6.8,Logical Access - Unauthorized or Malicious Software,The entity implements controls to prevent unauthorized software,Implemented,custom_ids.rules; edr_policy.xml,week-11_active-defense,Suricata IDS and EDR policy prevent unauthorized software
Common Criteria,CC7.1,System Operations - Detection of Vulnerabilities,The entity uses detection and monitoring procedures to detect vulnerabilities,Implemented,nmap_scan_results.txt; custom_ids.rules,week-07_recon-vulnerability-analysis; week-11_active-defense,Active scanning plus IDS for continuous vulnerability detection
Common Criteria,CC7.2,System Operations - Monitoring of System Components,The entity monitors system components for anomalous behavior,Implemented,brute_detector.py; system_auditor.py,week-03_python-for-security,Automated monitoring scripts detect anomalies
Common Criteria,CC7.3,System Operations - Evaluates Security Events,The entity evaluates security events to determine whether they are incidents,Implemented,attack_timeline.csv; forensic_findings.md,week-10_dfir,DFIR artifacts demonstrate security event evaluation
Common Criteria,CC7.4,System Operations - Responds to Identified Incidents,The entity responds to identified security incidents,Implemented,Incident_Response_Report.md; Operation_Fortress_Report.md,week-12_final-reckoning,Full incident response execution documented
Common Criteria,CC7.5,System Operations - Identifies Causes of Incidents,The entity identifies causes of incidents and develops remediation,Implemented,tepp_postmortem.md; remediation_plan.md,week-12_final-reckoning; week-07_recon-vulnerability-analysis,Post-mortem and remediation plan document root cause analysis
Common Criteria,CC8.1,Change Management - Manages Changes,The entity authorizes approves tests and deploys changes,Partial,docker-compose.yml,week-04_docker-containers,IaC enables controlled changes; formal CAB process not documented
Common Criteria,CC9.1,Risk Mitigation - Identifies and Selects Vendors,The entity identifies assesses and manages risks from vendors,Not Implemented,,,No vendor risk management program documented
Common Criteria,CC9.2,Risk Mitigation - Manages Vendor Risk,The entity assesses vendor risks including subservice organizations,Not Implemented,,,No subservice organization management documented
Availability,A1.1,Availability - Capacity Management,The entity maintains system capacity to support normal operations,Partial,docker-compose.yml,week-04_docker-containers,Container resource limits defined; formal capacity planning not documented
Availability,A1.2,Availability - Backup and Recovery,The entity authorizes and protects backup information,Partial,backup_discovery.txt,week-08-09_exploitation-post-exploitation,Backup discovery documented; formal backup/recovery policy not implemented
Confidentiality,C1.1,Confidentiality - Identifies Confidential Information,The entity identifies and maintains confidential information,Implemented,collection_log.txt; forensic_report.pdf,week-10_dfir,Chain-of-custody documentation identifies and protects confidential evidence
